CB Link ID,Boro,Community Board,Latitude,Longitude,Link Installation Status,Smallest PPT,Street Address,Kiosk Bearing,Boro ID,Link Site ID,Link Smoke Tested and Activated (A),Link Installation (A),Location
LINK-000045,Brooklyn,302,40.688851,-73.980613000000005,A - Link Live,126565,395 Flatbush Avenue,320 NW,NY-BK,bk-02-126565,1/20/17,11/13/2016,"(40.688851, -73.980613000000005)"
LINK-000067,Bronx,205,40.860214999999997,-73.893060000000006,A - Link Live,116218,2461 Webster Ave,108 E,NY-BX,bx-05-116218,5/25/16,05/12/2016,"(40.860214999999997, -73.893060000000006)"
LINK-000070,Bronx,207,40.862644000000003,-73.903244000000001,A - Link Live,119564,48 W Fordham Rd,4 N,NY-BX,bx-07-119564,9/15/16,08/13/2016,"(40.862644000000003, -73.903244000000001)"
LINK-000072,Bronx,205,40.861348999999997,-73.898022999999995,A - Link Live,119575,2437 Grand Concourse,100 E,NY-BX,bx-05-119575,7/19/16,07/01/2016,"(40.861348999999997, -73.898022999999995)"
LINK-000074,Bronx,205,40.861654999999999,-73.898580999999993,A - Link Live,119587,150 E 188St,9 N,NY-BX,bx-05-119587,5/25/16,05/12/2016,"(40.861654999999999, -73.898580999999993)"
LINK-000076,Bronx,205,40.859152999999999,-73.898553000000007,A - Link Live,119628,2366-2370 Grand Concourse,338 N,NY-BX,bx-05-119628,7/15/16,05/12/2016,"(40.859152999999999, -73.898553000000007)"
LINK-000092,Manhattan,105,40.765827999999999,-73.983363999999995,A - Link Live,122622,944 8 Avenue,335 NW,NY-MN,mn-05-122622,8/3/16,07/19/2016,"(40.765827999999999, -73.983363999999995)"
LINK-000111,Manhattan,105,40.766174999999997,-73.981989999999996,A - Link Live,122522,250 West 57St,42 NE,NY-MN,mn-05-122522,7/19/16,05/26/2016,"(40.766174999999997, -73.981989999999996)"
LINK-000114,Manhattan,105,40.743203999999999,-73.989216999999996,A - Link Live,123647,1123 Broadway,80 E,NY-MN,mn-05-123647,12/5/16,10/29/2016,"(40.743203999999999, -73.989216999999996)"
LINK-000116,Manhattan,105,40.744244000000002,-73.989024999999998,A - Link Live,108039,1149 Broadway,135 SE,NY-MN,mn-05-108039,11/8/16,10/01/2016,"(40.744244000000002, -73.989024999999998)"
LINK-000120,Manhattan,105,40.745125999999999,-73.988660999999993,A - Link Live,139806,1170 Broadway,289 W,NY-MN,mn-05-139806,11/2/16,10/15/2016,"(40.745125999999999, -73.988660999999993)"
