"Borough","NeighborhoodName","Lat","Lon","NeighborhoodID"
"Manhattan","Alphabet City",40.7260601,-73.9785952,1
"Manhattan","Battery Park City",40.7122172,-74.0160576,2
"Manhattan","Carnegie Hill",40.7844653,-73.9550857,3
"Manhattan","Chelsea",40.7465004,-74.0013737,4
"Manhattan","Chinatown",40.7157509,-73.9970307,5
"Manhattan","East Harlem",40.7957399,-73.9389213,6
"Manhattan","East Village",40.7264773,-73.9815337,7
"Manhattan","Financial District",40.7074909,-74.0112764,8
"Manhattan","Flatiron District",40.740083,-73.9903489,9
"Manhattan","Gramercy Park",40.7367783,-73.9844722,10
"Manhattan","Greenwich Village",40.7335719,-74.0027418,11
"Manhattan","Harlem",40.8115504,-73.9464769,12
"Manhattan","Hell's Kitchen/Clinton",40.7637581,-73.9918181,13
"Manhattan","Inwood",40.8677145,-73.9212019,14
"Manhattan","Kips Bay",40.7423292,-73.9800645,15
"Manhattan","Lincoln Square",40.773828,-73.9844722,16
"Manhattan","Lower East Side",40.715033,-73.9842724,17
"Manhattan","Manhattan Valley",40.7970307,-73.9697758,18
"Manhattan","Midtown East",40.7540369,-73.9668408,19
"Manhattan","Midtown West",40.7637581,-73.9918181,20
"Manhattan","Morningside Heights",40.8089564,-73.9624327,21
"Manhattan","Murray Hill",40.7478792,-73.9756567,22
"Manhattan","NoLita/Little Italy",40.720526,-73.996538,23
"Manhattan","Roosevelt Island",40.7605031,-73.9509934,24
"Manhattan","SoHo",40.723301,-74.0029883,25
"Manhattan","Tribeca",40.7162692,-74.0086323,26
"Manhattan","Upper East Side",40.7735649,-73.9565551,27
"Manhattan","Upper West Side",40.7870106,-73.9753676,28
"Manhattan","Washington Heights",40.8417082,-73.9393554,29
"Manhattan","West Village",40.735781,-74.0035709,30
"Bronx","Baychester/Co-op City",40.8738889,-73.8294444,31
"Bronx","Bedford Park",40.8700999,-73.8856912,32
"Bronx","Belmont",40.8523198,-73.88601,33
"Bronx","Bronxdale",40.8478445,-73.8601178,34
"Bronx","Castle Hill",40.8176831,-73.8507279,35
"Bronx","City Island",40.8468202,-73.7874983,36
"Bronx","Concourse Village/Grand Concourse/Morrisania",40.8286017,-73.9215333,37
"Bronx","Country Club",40.8430539,-73.8213213,38
"Bronx","Fieldston",40.8942678,-73.9036487,39
"Bronx","Fordham",40.8579074,-73.8992392,40
"Bronx","Hunts Point",40.8120246,-73.8801301,41
"Bronx","Kingsbridge",40.8833912,-73.9051185,42
"Bronx","Kingsbridge Heights",40.8739816,-73.9027462,43
"Bronx","Melrose",40.824545,-73.9104143,44
"Bronx","Morris Heights",40.8515872,-73.9154069,45
"Bronx","Morris Park",40.8522006,-73.8507279,46
"Bronx","Mott Haven",40.8091068,-73.9228881,47
"Bronx","Parkchester",40.8382522,-73.8566087,48
"Bronx","Pelham Bay",40.8505556,-73.8333333,49
"Bronx","Pelham Gardens",40.8612162,-73.8448469,50
"Bronx","Pelham Parkway",40.8553279,-73.8639594,51
"Bronx","Port Morris",40.8028642,-73.9109977,52
"Bronx","Riverdale",40.8940853,-73.9109977,53
"Bronx","Soundview",40.8251411,-73.8683697,54
"Bronx","Throgs Neck",40.818399,-73.8213213,55
"Bronx","Tremont",40.8447416,-73.8933596,56
"Bronx","University Heights",40.8595861,-73.9109977,57
"Bronx","Wakefield",40.89655,-73.8507279,58
"Bronx","Williamsbridge",40.8776859,-73.8566087,59
"Bronx","Woodlawn",40.8976347,-73.8668996,60
"Queens","Arverne",40.592658,-73.7977928,61
"Queens","Astoria",40.7643574,-73.9234619,62
"Queens","Bayside",40.7585569,-73.7654367,63
"Queens","Beechhurst",40.7903548,-73.7977928,64
"Queens","Belle Harbor/Neponsit",40.5782685,-73.8495233,65
"Queens","Bellerose",40.7320207,-73.7183639,66
"Queens","Briarwood",40.7089491,-73.8154394,67
"Queens","Broad Channel",40.6158335,-73.8213213,68
"Queens","Cambria Heights",40.692158,-73.7330753,69
