"","LON","LAT","neighborhood"
"0",-73.9886605714971,40.6309492534299,"Borough Park"
"1",-73.8072941092106,40.7541089057991,"East Flushing"
"2",-73.7879487546639,40.7510343567913,"Auburndale"
"3",-73.8095454005669,40.7683515815248,"Murray Hill"
"4",-73.8683953884928,40.763352081056,"East Elmhurst"
"5",-73.9023521749519,40.8275124824528,"Morrisania-Melrose"
"6",-73.8826578235618,40.7911329937341,"Rikers Island"
"7",-73.7611369512951,40.7106391933537,"Hollis"
"8",-73.9537819633635,40.817975518639,"Manhattanville"
"9",-73.7730343473746,40.6720903666864,"Springfield Gardens North"
"10",-73.9283329868055,40.7715702143942,"Old Astoria"
"11",-73.773421049628,40.7627375939487,"Bayside-Bayside Hills"
"12",-73.8024445583976,40.7283327600424,"Pomonok-Flushing Heights-Hillcrest"
"13",-73.9923973092946,40.7641753172354,"Clinton"
"14",-73.9643335444538,40.599953855987,"Homecrest"
"15",-73.8486428663809,40.8321001228659,"Westchester-Unionport"
"16",-73.7837165161239,40.7348944308879,"Fresh Meadows-Utopia"
"17",-74.1263560113174,40.5465881351267,"park-cemetery-etc-Staten Island"
"18",-73.8633382949303,40.7261549714574,"Rego Park"
"19",-73.9835036625551,40.7557337412094,"Midtown-Midtown South"
"20",-73.9690179240997,40.7543074570287,"Turtle Bay-East Midtown"
"21",-73.7859736132444,40.7833329944594,"Ft. Totten-Bay Terrace-Clearview"
"22",-73.7631460392298,40.6912012037641,"St. Albans"
"23",-73.8309266994231,40.6945408197759,"Richmond Hill"
"24",-73.858370414008,40.7423506398812,"Corona"
"25",-73.8194590205808,40.6761548972274,"South Ozone Park"
"26",-73.776100951688,40.7206555902617,"Jamaica Estates-Holliswood"
"27",-73.948135619258,40.6049134658155,"Madison"
"28",-73.9779824474744,40.6536117486812,"Windsor Terrace"
"29",-73.9761987947899,40.6405900160358,"Kensington-Ocean Parkway"
"30",-73.951623468533,40.6461162278937,"Erasmus"
"31",-73.8989569400951,40.8196747674551,"Longwood"
"32",-73.9623631562094,40.6879665617051,"Clinton Hill"
"33",-73.8235553001051,40.8233135967539,"Schuylerville-Throgs Neck-Edgewater Park"
"34",-73.8156570882865,40.7881926789926,"Whitestone"
"35",-73.8186684657667,40.7263984430361,"Kew Gardens Hills"
"36",-74.0102348717663,40.7080012846346,"Battery Park City-Lower Manhattan"
"37",-73.86303771476,40.7525791083301,"North Corona"
"38",-74.0074869106002,40.6042711514692,"Bath Beach"
"39",-73.9952582283341,40.6122184789883,"Bensonhurst West"
"40",-73.9495245165581,40.7295039879519,"Greenpoint"
"41",-74.1508900229212,40.5518618039132,"Great Kills"
"42",-73.9023309557406,40.7239949126007,"Maspeth"
"43",-73.941511573811,40.5882994397851,"Sheepshead Bay-Gerritsen Beach-Manhattan Beach"
"44",-73.8087275536453,40.7115966641513,"Briarwood-Jamaica Hills"
"45",-73.7939811400928,40.7043690285968,"Jamaica"
"46",-74.1050096620066,40.5717691079662,"New Dorp-Midland Beach"
"47",-73.9037305771178,40.7492779232267,"Woodside"
"48",-73.7909871348418,40.67895267145,"Baisley Park"
"49",-73.7909647357012,40.694427428679,"South Jamaica"
"50",-73.8065377228303,40.8465704341535,"Pelham Bay-Country Club-City Island"
"51",-74.0046533603749,40.64188462329,"Sunset Park East"
"52",-73.7355540385877,40.694341248652,"Cambria Heights"
"53",-73.9196972008267,40.7614936308978,"Astoria"
"54",-73.741531589198,40.715453812557,"Queens Village"
"55",-73.7445239209845,40.6759168617711,"Laurelton"
"56",-73.915277184596,40.6145909092208,"Georgetown-Marine Park-Bergen Beach-Mill Basin"
"57",-73.9568243656277,40.6209238190784,"Midwood"
"58",-73.9814307816591,40.5884029611443,"Gravesend"
"59",-73.9835374671343,40.6014293131197,"Bensonhurst East"
"60",-74.1672342193064,40.6313080648484,"Mariner's Harbor-Arlington-Port Ivory-Graniteville"
"61",-74.1407886839748,40.6281658016464,"Port Richmond"
"62",-73.9612161968054,40.580922753113,"Brighton Beach"
"63",-74.1884835004197,40.5526582791993,"Arden Heights"
"64",-74.2078274807304,40.5403317246922,"Rossville-Woodrow"
"65",-73.9300971316311,40.6262724838982,"Flatlands"
"66",-73.9487063909995,40.7773162989699,"Yorkville"
"67",-73.8953639110208,40.666558714388,"East New York (Pennsylvania Ave)"
"68",-73.8470434154763,40.6755955635248,"Ozone Park"
"69",-73.9474437900611,40.6587450873229,"Prospect Lefferts Gardens-Wingate"
"70",-73.9367980448697,40.7153707258164,"East Williamsburg"
"71",-73.9585967331781,40.7039165539194,"Williamsburg"
"72",-73.9499047904252,40.6915070244588,"Bedford"
"73",-73.9102544597529,40.6640013809861,"Brownsville"
"74",-73.9774998471622,40.744211290621,"Murray Hill-Kips Bay"
"75",-73.9318877109671,40.6881681386877,"Stuyvesant Heights"
"76",-73.9136476993332,40.6766374944607,"Ocean Hill"
